jobcode	jobtitle
208640	chef(fe) de division - edifices, equipements et parcs (arr. pierrefonds)
211380	chef(fe) de section - paie
222080	chef(fe) de division - permis et inspections - arr. ville-marie
220290	conseiller(ere) principal(e)- relations de travail
105750	directeur(-trice) de service - urbanisme et mobilité
212620	chef(fe) de division - expertise comptable
221510	chef(fe) de division - services aux utilisateurs
220760	responsable de secteur-formation emploi de la force(spvm)
220890	chef(fe) de division - reseaux de telecommunications
218990	chef(fe) de division - soutien technique et infrastructures - matieres residuelles
713490	prepose(e) aux contestations d evaluations - cum
211400	chef(fe) de division - gestion de la presence au travail
792430	prepose(e) a la documentation
213550	contremaitre(-tresse)-atelier mecanique et magasin (lasalle)
607850	mecanicien(ne) en tuyauterie refrigeration et chauffage
203620	c/m usine de filtration (arr.lachine)
100270	prmo - contremaitre(-esse)
106970	directeur(-trice) développement résidentiel
401040	profil - 401000 - geomatique
221900	chef(fe) de section - gestion contractuelle
224020	chef(fe) de division - planification stratégique   performance
900010	stagiaire
220020	inspecteur général associé
217410	chef(fe) de division - entretien (eau)
218540	chef(fe) de division-exploitation reseau et planification entretien usines production eau
214740	c/m gen.des métiers - biodome
222180	chef(fe) de section - soutien aux rapports d evenements
500030	lieutenant(e) prepose(e) a l entretien
710570	arbitre en chef - baseball - st-laurent
221060	chef(fe) de division - strategie d affaires et partenariats
105840	directeur(-trice) des revenus
221210	chef(fe) de division - portefeuille de systemes financiers
221610	chef(fe) de division - services administratifs
222200	responsable - service aux cours
106350	directeur(-trice) - ateliers mecaniques
218550	chef(fe) de section - planification de l entretien - usines eau potable
451020	ingenieur(e)
792820	agent(e) de bureau
743370	agent(e) de recettes
705350	agent(e) technique principal(e)
713260	operateur(-trice) de video-clavier - cum
900610	stage non remunere
214910	chef(fe) de section - inspections batiments
792810	commis de bureau
713760	technicien(ne) en evaluation grade 2 - cum
789340	agent(e) technique en mecanique du batiment
762850	aide-animateur(-trice) grade 1 - loisirs communautaires
304360	administrateur(-trice) principal(e) - bases de donnees (dba)
207810	superviseur(e) - centre de communications d urgence
782910	officier(-iere) de liaison aupres des cours de justice
605620	journalier(-iere) - etudiant(e) - anjou
721950	inspecteur(-trice) residentiel(le) en evaluation fonciere
742310	conseiller(-ere) en verification
755410	prepose(e) aux renseignements horticoles
219500	gerant(e) d atelier - service materiel roulant et des ateliers
721690	assistant(e) technique - géomatique
342410	charge(e) du cont. des gestionnaires ext.   des fiduciaires
700380	assistant(e) animateur(-trice) specialise(e) - loisirs socio-culturels
601880	soudeur(-euse)
217940	chef(fe) de division - securite et amenagement du reseau arteriel
721720	préposé(e) - gestion de la mobilité urbaine
211570	chef(fe) de division - centre de communications d urgence (sim)
211290	agent(e) conseil- remuneration
220610	chef(fe) de division - solutions numeriques
217870	chef(fe) de section - service a la clientele - arrondissement
602360	ouvrier(-iere) des usines - eau potable
611390	brigade a la proprete - cols bleus
106380	directeur(-trice) gestion matieres residuelles infras
702920	prepose(e) a la patrouille animale - lasalle
202260	charge(e) - enquetes analyses
702040	prepose(e) a l application des reglements - lachine
104330	directeur(-trice) de service - habitation
215650	chef(fe) de section - gestion de projets immobiliers
221690	chef(fe) de section - plan directeur
218750	contremaitre(-tresse)-atelier de formation (service)
451110	ingenieur(e) de section
215510	gérant serv.garage <<serv.adm.>>
220830	chef(fe) de division - chantier de performance (spo)
900630	stagiaire cadre 1 a 59 credits
224030	contremaitre(-tresse) réseaux d eau
212570	chef(fe) de section - voirie
300640	conseiller(-ere) recettes fiscales
303340	conseiller(-ere) scientifique
401630	charge(e) expertise et analyse
221670	chef(fe) de section - programmes, inclusion sociale et mediation du livre
711420	prepose(e) aux specifications d achats
106920	directeur(-trice) - revue des activites de la ville
223200	chef(fe) de division - projets speciaux et centre d expertise en maintenance
712470	prepose(e) a la scenographie et montage audiovisuel - st-leonard
215540	chef(fe) de division - immeubles et materiel roulant (arr. verdun et lasalle)
714780	inspecteur - ilbiz
217610	c/d ress. fin.   mat. espace vie, serv. tech. informat.
756410	prepose(e) a la reproduction de plans
717360	coordonnateur(-trice) du programme des terrains de jeux - montreal-nord
304350	conseiller(-ere) en telecommunications equipementss
216510	assistant(e) surintendant(e) - collecteurs et bassins de retention
222450	chef(fe) de section - administration de contrats
601840	mecanicien(ne) soudeur(-euse)
106580	directeur(-trice)-direction des services administratifs et des projets urbains
218410	chef(fe) de section - operations - gestion des matieres residuelles
212930	chef(fe) de section - ateliers mecaniques
715000	coordonnateur(-trice) adjoint(e) socio-culturel - pierrefonds
400150	conseiller(-ere) en communication
106280	directeur(-trice)-bureau d integration des nouveaux arrivants
106310	directeur(-trice) - strategie d operations d entretien de lavoie publique
223150	chef(fe) de division - formation (concertation des arr.)
222430	chef(fe) de section - gestion de la formation et centre     maxim eau
222590	chef(fe) de section - inspection salubrite
220940	chef(fe) de releve - centrale 911
218970	responsable approvisionnement et magasin - eau
794410	prepose(e) aux installations telephoniques
701920	coordonnateur(-trice) camp de jour et service de garde - lachine
400800	profil - 400790 - infrastructure
207250	chef(fe) de module - centrale d information policiere (spvm)
222050	chef(fe) de division - bureau des projets et programmes d immobilisations
105540	directeur(-trice) - travaux publics (ii)
301800	conseiller(-ere) a l accueil au protocolee
401110	profil - 401000 - solution ti en securite publique
702000	surveillant(e) - patineurs(-euses) et arenas - lachine
208260	c/m voirie (arr. pier/roxb)
602990	ouvrier(ere) general(e) de metiers - biodome
219980	chef(fe) de division - assistance a la gestion des interventions dans la rue
219510	adj. et chef du bureau des aff. gouv. et metropolitaines
105050	directeur(-trice) aménagement urbain serv.entr. ville-marie
103060	directeur(-trice) de service - police
223010	chef(fe) de division - communications spvm
605740	prepose(e) a la signalisation
221470	chef(fe) de section - telecommunications et solutions technologiques (spvm)
218680	chef(fe) de mission en verification
217970	c/m entretien du reseau secondaire d aqueduc et d egouts
223800	chef(fe) de section - relations de presse et logistique
223700	chef(fe) de division - chaine logistique
270620	chef(fe) de division - securite incendie de montreal
601640	moniteur(-trice) examinateur(-trice)
721940	programme tremplin-travail - universitaire
221620	chef(fe) de division-renovation agrandissement construction (rac) des bibliotheques
215260	resp.corpo.resp.personne
221100	chef(fe) de division - developpement, exploitation pilotage systeme
221220	chef(fe) de division - planification et processus (communications)
700480	prepose(e) a l accueil
771810	prepose(e) au centre de communication du sim
772340	agent(e) technique en circulation   stationnement - tp - hdu
711820	agent(e) d approvisionnement niveau 2
720870	secretaire de direction - directeur(-trice) de premier niveau
214410	c/d urb.env.hab.  dev.écon.<<arr.mtln>>
732840	programmeur(-euse) analyste - etudes techniques - operations
700750	inspecteur(-trice) aux programmes de renovation
433810	agent(e) de systemes de gestion
307930	avocat(e) en droit du travail
483230	architecte
400840	profil - 400790 - logiciel
401210	charge(e) de projets ti
721650	agent(e) technique - analyse reseau soutien aux operations
700440	coordonnateur(-trice) en loisirs
607810	mecanicien(ne) diagnostics
