jobcode	jobtitle
221140	chef(fe) de section - support et technologie des communications operationnelles (spvm)
209340	c/d administration - niveau 1
206430	contremaître(-tresse) - électricité (sla)
711610	specialiste - karate iii - st-laurent
601250	"egoutier(-iere) chauffeur(-euse) ""vactor"""
223250	chef(fe) de section gestion des services administratifs
106640	directeur(-trice)-bureau de la retraite
223530	chef(fe) de division - laboratoire d innovation urbaine
223450	chef(fe) de section - planification logistique
216800	chef(fe) de division - centre de services partages - bibliotheque
211460	conseiller(-ere) (specialite)
720800	agent(e) technique en mesures preventives
721560	préposé(e) aux interventions rapides et prioritaires
789320	agent(e) technique en instrumentation   controle
483250	architecte - planification
215580	chef(fe) de section - informatique
721520	charge(e) de soutien technique en immobilier
700530	surveillant(e) de pataugeoire
601160	jardinier(-iere)
601300	peintre
222760	chef(fe) de section - biodiversite
400790	architecte ti de solutions
601510	menuisier(-iere)
611640	prepose(e) en charge - entretien du reseau d aqueduc et d egouts
210980	chef(fe) de division - voirie - arrondissement
105530	directeur(-trice) arrondissement (ii)
732880	technicien(ne) en developpement d application en bureautique
210070	chef(fe) de division - patrimoine
700460	moniteur(-trice) de sports
345310	conseiller(-ere) en gestion des ressources financieres - c/e
223100	chef(fe)de section - rémunération
105860	directeur(-trice)-comptabilite et informations financieres
223180	chef(fe) de section - pépinière et renforcement canopée
762940	surveillant(e) d activites
221410	contremaitre(-tresse)-general(e) de metiers (eplv)
713090	concepteur(-trice) des amenagements - immeubles
209230	chef(fe) de division - budget
721700	agent(e) technique en estimation
602200	electricien(ne) - eclairage
219460	chef(fe) de section - projets de parcs (arrondissement)
718600	specialiste pre-natal - stlau
215210	chef(fe) de division - securite
222780	chef(fe) de division - intelligence affaires sociales optimisation
611550	frigoriste
222830	chef(fe) de section - conseil a la gestion et suivi de projets
222060	chef(fe) de section - projets et etudes techniques
213390	contremaitre(-tresse) - batiments, signalisation, eclairage (arrondissement)
210120	chef(fe) de section - gestion des programmes d habitation
500010	lieutenant(e)
500060	lieutenant(e) instructeur(-trice)
721530	agent(e) technique en genie civil (infrastructures municipales)
105800	directeur(-trice) - affaires civiles et avocat(e) en chef adjoint(e)
713600	charge(e) d entretien - parcs natures
704410	aide ingenieur(e) ii - verdun
200290	c/m  ventilation, clim., chauf., refrigeration   mecanique
211340	c/d ress. hum. - serv corporatif
219480	c/d logistique d approvisionnement
600320	prepose(e) a l application de peinture
216210	chef(fe) de section - parcs et horticulture (arrondissement)
218390	chef(fe) de division - urbanisme (arrondissement ville-marie)
717000	caissier(-ere) - verdun
219200	c/d certification des contrôles internes -finances
213440	c/m parcs,terrains jeux   sports <<arr.>>
200890	c/m  de form.
709480	prepose(e) a l accueil - piscines interieures - mtl-nord
211050	chef(fe) de division - diversite sociale
106300	directeur(-trice)-image de marque et strategies numeriques
106240	directeur(-trice) - entrepreneuriat
711000	marqueur(-euse) - st-laurent
710950	inspecteur - construction - stlau
719880	coordonnateur(-trice) - piscines municipales - lachine
103750	verificateur(-trice) general(e)
215980	c/s sports, loisirs (ile bizard)
214440	c/m entret.  décoration
221400	chef(fe) de division - ressources matérielles et informationnelles (spvm)
223510	chef(fe) de section - transactions immobilières
602970	animalier(-iere) - clinique veterinaire
221870	chef(fe) de division - operation logistique
720990	charge(e) de soutien technique en droit - contentieux
221760	chef(fe) de section - geotechnique et chaussee
732560	analyste en reclamation
106790	directeur(-trice) - projets et developpement des services aux citoyens
220710	chef(fe) de division - planification transports et mobilite
221980	chef(fe) de section - projet
401320	profil 2 -401300-
219430	chef(fe) de protocole et de l accueil
106840	directeur(-trice) - innovation urbaine et opportunites str  ategiques
216350	chef(fe) de division - gestion strategique des reseaux d eau
401010	profil - 401000 - sourçage ti
105870	directeur(-trice) general(e) - bureau du taxi de montreal
104500	directeur(-trice) de service - ressources humaines
302450	chef(fe) de division - gestion des paiements de factures et des taxes de vente
205650	c/d opérations <<arr.mtln et outremont>>
719890	chef(fe) moniteur(-trice) - lachine
223040	chef(fe) de section - arrimages et projet transfo rh
220120	chef(fe) de division - prévention et proximité citoyen
220730	c/s communications corporatives
220300	conseiller(ere) principal(e) - developpement organisationnel
223940	chef(fe) de section - experience client eplv
103360	directeur(-trice) de service-greffe et greffier(-iere)
216730	chef(fe) de division - centre de services (bureau du taxi de montreal)
791840	secretaire de direction
713050	chef(fe) animateur(-trice) - cum
213620	contremaitre(-tresse)-supervision des services alimentaires
791860	secretaire juridique
709250	commis urbanisme-construction - mtln
601680	mecanicien(ne) electricien(ne)
600470	prepose(e) a l entretien - sports   loisirs
732510	analyste en informatique
367210	conseiller(-ere) en developpement communautaire
455830	architecte paysagiste - c/e
769310	agent(e) principal(e) de communications sociales
103710	president(e) - office de consultation publique de montreal
210030	chef(fe) de division - permis et inspection (arrondissement)
407490	stagiaire du barreau
607880	menuisier(-iere) installation
210080	chef(fe) de division - urbanisme (arrondissement)
210930	chef(fe) de division - voirie et parcs en arrondissement
783420	prepose(e) aux modifications cadastrales
721150	préposé(e) aux communications d urgence
607040	plombier(-iere) chauffage
721970	technicien(ne) - greffe et archives
400560	bibliothécaire responsable
222560	chef(fe) de section - communications
900340	brigadier(-iere) scolaire
721840	agent(e) liaison intervention sociale
600560	agent(e) de securite- classe 2
607030	peintre-arrondissement
400830	profil - 400790 - bureautique
706500	agent(e) de developpement en loisirs
711490	specialiste - conditionnement physique aquatique iii - st-laurent
210100	chef(fe) de division - urbanisme, permis et inspections (arr. outremont)
105410	verificateur(-trice) général(e) adjoint(e)
222910	chef(fe) de section - services administratifs (materiel roulant atelier)
254310	chef(fe) de section - chimie environnementale et controle de la qualite de l eau
219860	chef(fe) de division - services et produits specialises (mra)
220620	chef(fe) de division - solutions d affaires
214560	contremaitre(-tresse)-plomberie, usines et environnement, voirie, reseaux
215170	c/m batiment et équipements
611380	electronicien(ne) - systemes de securite
218590	contremaitre(-tresse)-operations aux usines de production del eau (eau)
222630	chef(fe) de section - transition ecologique et planification de l entretien
781310	technicien(ne) en controle du bruit
218600	chef(fe) de division - gestion de projets immobiliers
220950	chef(fe) de division - relations de travail
721320	etudiant(e) col blanc - dep
222740	chef(fe) de division - signalisation, marquage de la chaussee (arrondissement rosemont)
213310	conseiller(-ere) en analyses financieres chef d equipe
706920	prepose(e) a l equipement et a la production technique
207270	chef(fe) de section - développement de compétences technologiques
204580	contremaître(-tresse) - enveloppe du bâtiment (v)
215520	chef(fe) de division - gestion documentaire et archives
700330	guide etudiant(e)
221340	chef(fe) de division - creation et production communications
751340	agent(e) technique de laboratoire en geologie
501540	auxiliaire-soutien
215400	contremaître(-tresse) - atelier en éclairage et signalisation (rpp)
607470	prepose(e) a la mecanique
216440	c/s adm et plan d affaires - eau
601520	ouvrier(-iere) en charge et chauffeur(-euse) - eaux et assainissement
709130	animateur(-trice) du programme des terrains de jeux - mtl-nord
709320	coordonnateur(-trice) - jardins communautaires - mtl-nord
303350	museologue
203970	contremaître(-tresse) - mécanique du bâtiment
222700	chef(fe) de section - ateliers et equipements
219390	chef(fe) de division - collections entomologiques et recherches
222010	directeur(-trice) general(e) adjoint(e) - bureau du taxi de montreal
214630	c/m voirie signal. (arr.pier-roxb./stlau)
210880	chef(fe) de division - ressources materielles, alimentaires et logistiques (arr. mhm)
705140	insp.serv.amena.urb.serv.entrp.- verd
401220	profil -401200- telecommunications
105040	directeur(-trice) travaux publics ville-marie
711890	prepose(e) a la qualite - approvisionnement
105480	controleur(-euse) general(e)
105810	directeur(-trice) de service - concertation des arrondissements et experience citoyenne
709470	pointeur(-euse) - mtl-nord
220250	chef(fe) de section - gestion des factures et inventaires
220180	chef(fe) de division - ressources materielles (spvm et sim)
216930	chef(fe) de division - perception et encaissement
217980	chef(fe) de division - geomatique
201620	chef(fe) de division - entretien, eclairage, signalisation, marquage chaussee - rsmt
713550	regisseur(-euse) des exemptions de taxes - cum
222790	chef(fe) de division - gestion contractuelle et opérationnelle des travaux municipaux
223370	chef(fe) de division - gouvernance, gestion des risques,    des projets et des actifs
219090	chef(fe) de division - culture, sports, loisirs, developpement social (ile bizard)
223580	chef(fe) de section résidentielle - évaluation foncière
611710	prepose(e) aux equipements de signalisation
401580	analyste d affaires principal(e) - projets conseil strategique
753410	prepose(e) aux instruments d arpentage
500140	lieutenant(e) prepose(e) a la planification des secours
715080	prepose aux permis - pier
106290	directeur(-trice)-partenaires d affaires en communication
222340	chef(fe) de division - inspection et entretien
210060	chef(fe) de division - developpement durable
709090	animateur(-trice) bambinerie - mtl-nord
717570	caissier(-ere) guichet - st-laurent
401310	profil 1 -401300-
607970	prepose(e) aux menus travaux
106190	directeur(-trice) - planification immobiliere
203750	chef(fe) de division - gestion infrastructure, loisirs et equipements (arr. lasalle)
107020	responsable soutien a la direction et charge(e) de projets  responsable soutien a la direc
105980	directeur(-trice)-bureau de l experience client
401290	profil 2 -401270-
217060	responsable soutien aux élus i
771310	agent(e) de prevention des incendies
706310	agent(e) de communications sociales
713340	prepose(e) a l information - police de quartier - cum
703810	greffier(-iere) audiencier(-iere)
763830	bibliotechnicien(ne)
784610	inspecteur(-trice) en circulation et stationnement
710740	commis - gestion documentaire ii - st-laurent
202830	gestionnaire immobilier(-iere)
900700	stagiaire scientifique 60 a 89 credits
732850	programmeur(-euse) analyste
711560	analyste de materiaux
700670	technicien(ne) en geomatique (cartographie thematique)
755610	inspecteur(-trice) en horticulture et arboriculture
713560	responsable de la gestion des documents
718210	commis-inspections - stlau
762810	animateur(-trice) de sports et loisirs
702810	inspecteur(trice) en construction et aménagement urbain
719960	animateur(-trice) specialiste activites culturelles - lasalle
601940	poseur(-euse) d appareils de chauffage
400590	chargé(e)projet-grand projet
304380	agent(e) de gestion en telecommunications equipements
499810	agent(e) de recherche
222330	chef(fe) de division - gouvernance et normalisation
700720	agent(e) d approvisionnement niveau 1
401490	analyste ti principal
700470	moniteur(-trice) specialise(e) - piscine
211700	chef(fe) de section - centre sportif et installations dcqmv
400740	conseiller(-ere) en gestion-régimes de retraite
211440	chef(fe) de division - actuariat et developpement
209060	c/d developpement organisationnel
216460	chef(fe) de projet - gestion de l eau
703200	technicien(ne) - audiovisuel(le) - lasalle
601690	mecanicien(ne) en tuyauterie - chauffage
222160	chef(fe) de section - experience client acquisition
601630	horticulteur(-trice)
382410	conseiller(-ere) en developpement - habitation
782830	enqueteur(-euse) estimateur(-trice)
220560	chef(fe) de section - projets ti
213460	contremaitre(-tresse) - atelier mecanique (en arr.)
700830	prepose(e) aux arenas
572110	capitaine
743820	surveillant(e) de l encaissement
731840	programmeur(-euse) analyste - production
500070	capitaine instructeur(-trice)
218710	coordonnateur(-trice) securite urbaine (arrondissement st-laurent)
206930	agent(e) de gestion - operations (parc automobile - spvm)
217810	chef(fe) de section - operations et entretien
217840	chef(fe) division-soutien commissions permanentes, conseils consultatifs, bur. presidence
211650	chef(fe) de division - orientations, evenements, equipements, pratiques sportives
211280	agent(e) conseil - systemes info en ressources humaines
713220	inspecteur(-trice) - taxi/remorquage
217570	chef(fe) de section - soutien operationnel (environnement)
220800	chef(fe) de section - catalogage et analyse documentaire
216080	chef(fe) de division - transition ecologique
720300	technicien(ne) en recherche et enquête
221810	contremaitre(-tresse)-proprete
221650	chef(fe) de division - planification et gestion des espaces
211900	chef(fe) de division - culture, bibliotheque et developpement social - arrondissement
104170	directeur(-trice) de service - culture
106860	directeur(-trice) - espaces de travail et services aux utilisateurs
211830	chef(fe) de division - culture (arrondissement)
203600	contremaitre(-tresse) - electricite et refrigeration (lach)
792850	agent(e) principal(e) - salle de courrier
732520	analyste en informatique - responsable
720000	animateur specialiste camp de jour - lasa
602310	plombier(-iere) - usine de filtration de pompagee
220200	charge(e) - expertise et analyse (specialite) - big
106730	directeur(-trice) de projets - programmes et systemes
106470	directeur(-trice)-architecture d affaires et amelioration continue
222130	chef(fe) de division - gouvernance et gestion de risques
302430	chef(fe) de section - services aux participants
105850	directeur(-trice)-conseil et soutien financiers
611540	sergent(e) - securite
206380	c/s serv.public (arr.stlau)
611360	electrotechnicien - eau potable
704700	commis a l accueil - s.a.c. - verdun
203840	chef(fe) de division - activites operationnelles (arr. ile bizard ste-genevieve)
221820	chef(fe) de division - inspection residentielle
207880	superviseur(e) inspection - aliments (cum)
213930	regisseur(-euse) des loisirs (arrondissement outremont)
700060	analyste en formulaires
607740	chauffeur(-euse) et aide
600790	prepose(e) au service - laboratoire
400550	agent(e) de conservation des collections vegetales et phytoprotection
217900	chef(fe) de section - soutien technique et operations - complexe environnement (st-michel)
601730	reparateur(trice) d appareils sous pression
707270	technicien(ne) de projets - environnement et reglementation urbaine
792460	prepose(e) au centre d information
222210	chef(fe) de division - information policière
214930	chef(fe) de section - animation et mouvement citoyen
221530	chef(fe) de division - amenagement du reseau des grands parcs
304330	conseiller(ere) en planification technologique
400690	designer graphique
219610	c/d bureau principal de gestion de projets (dg)
214400	chef(fe) de division - planification et soutien au greffe
255720	c/m  horticult. champetre ou abrite - pepin.   parc floral
219020	c/d ressources materielles et informationnelles (sa)
301310	charge(e) de projets - genie - stle
751430	analyste de recettes
712780	agent(e) de controle - gestion des stocks - cum
713660	technicien(ne) - environnement - cum
754330	agent(e) technique en genie civil - eaux   egouts
782310	analyste soutien a la reglementation (permis   inspections)
794420	prepose(e) aux communications
211940	chef(fe) de section - sports, loisirs, developpement social (arrondissement)
741310	agent(e) comptable
700540	surveillant(e) de sports
720230	adjoint(e) camp de jour (botanique) - lasalle
303360	agent(e) de marketing
382210	conseiller(-ere) - evaluation fonciere
212490	regisseur(-euse)
401130	developpeur(-euse)/concepteur(-trice)
601130	"chauffeur(-euse) operateur(-trice) d appareils motorises ""b"""
782610	enqueteur(-euse) a la gestion immobiliere
788330	agent(e) technique en urbanisme
221770	chef(fe) de section - reglementation de l eau
220220	chef(fe) de division - centre de services 311 et interventions rapides et priotiraires
400700	conseiller(-ere) norm.compt.et certification
209430	secretaire d arrondissement
702050	prepose(e) a l immatriculation des vehicules
220570	chef(fe) de division - centre d expertise - infrastructures et plateformes
611420	horticulteur(-trice) specialise(e) - espace pour la vie
721670	prepose(e) a l inspection
757410	technicien(ne) de laboratoire
781850	inspecteur(-trice) principal(e) du domaine public
211780	chef(fe) de division - sports, loisirs et developpement social en arrondissement
106330	inspecteur(-trice) general(e) adjoint(e)
218500	chef(fe) de division - amenagement des parcs et actifs immobiliers
401270	administrateur(-trice) - infrastructure, plateforme et stockage
752850	assistant(e) technique - architecture
754820	commis principal(e) de pesee
717130	agent(e) technique - mecanique du batiment / genie mecanique - cum
106780	directeur(-trice)-services administratifs en arrondissements
604920	mecanicien(ne) en tuyauterie - arrondissements
213380	chef(fe) de division - programmes publics et educatifs
602290	technicien(ne) entomologiste
220080	chef(fe) de division - greffier(-iere) adjoint(e)-elections acces info. commis. reglem.
216640	chef(fe) de section d ingénierie d usine
223070	chef(fe) de section-bâtiments,équipements et installations
214020	contremaitre(-tresse) - horticulture champetre ou abritee, pepiniere et parc floral
707240	specialiste - handicape(e) intellectuel(le) - anjou
106390	directeur(-trice)-developpement culturel
721730	etudiant(e) col blanc - dec specialise annee 3
700690	officier(-iere) principal(e) de liaison aupres des cours de justice (permis et inspection)
717410	estimateur(-trice) de travaux
601360	depanneur(-euse)
218020	chef(fe) de division - conception et realisation des travaux (tp)
606910	ouvrier(-iere) general(e) de metiers - arrondissement
315910	officier(-iere) de securite
219450	chef(fe) de division - soutien aux instances
219470	chef(fe) de section - gestion des systemes d information - bibliotheques
721500	parrainage professionnel niveau collegial
222580	chef(fe) de division - batiments equipements installations
214510	chef(fe) de section - archives (police)
213700	contremaitre(-tresse)-radiocommunication et sonorisation mra
215490	chef(fe) de section - emission des procedures
217030	chef(fe) de division - soutien aux elus - direction du greffe (ce)
713710	technicien(ne) d entretien - cum
223300	chef(fe) de division - developpement des grands projets de transport en partenariat
207900	chef(fe) de division - inspection des aliments
215760	chef(fe) de section - proprete et environnement
602000	electricien(ne) - transmission distribution
210970	chef(fe) de division - soutien technique (arr. montreal-nord)
611500	machiniste-outilleur(-euse)
222600	superviseur(e) inspection environnement
602100	electricien(ne) d usines - entretien operationon
222400	chef(fe) de section - programmes financiers
220210	chef(fe) de division - conformite et audits
220230	chef(fe) de l architecture d entreprise (ti)
222020	contremaitre(-tresse)-ateliers specialises (mra)
220880	chef de section-realisation proj. et chantiers amelioration
220490	chef(fe) de division - controle et amelioration continue
103700	ombudsman
103630	directeur(trice)- diversité sociale
754830	controleur(euse) d usine de filtration
104570	directeur(-trice) des reseaux d eau
609280	prepose(e) depotoir a neige - stlau
214230	adj. au directeur principal/directeur d arrondissement
400000	conseiller(-ere) en affaires interculturelles
107080	directeur(-trice) - interventions territoriales
401020	profil - 401000 - amelioration continue
701970	inspecteur en construction - lach
705550	surveillant(e) - verdun
216740	chef(fe) de section - centrale 911
105940	directeur(-trice)-laboratoire d innovation urbaine
219620	chef(fe) de section - soutien, recherche, diffusion en patrimoine
219630	chef(fe) de division - biodiversite et ecologie urbaine
215460	chef(fe) de section - greffe et greffier adjoint
220150	chef(fe) de division - gestion de projets et economie de la construction
401030	profil - 401000 - ux-ui
214120	c/d bur.projets (srmi)
102160	chef(fe) de division - affaires policieres (saj)
222350	chef(fe) de section - escouade mobilite
610900	chauffeur(-euse) autobus
218400	chef(fe) de module - verification des antecedents spvm
218950	chef(fe) de section - planification et coordination travaux (direction eau)
220790	regisseur(-euse) au transport et soutien operationnel
223170	chef(fe) de division - mobilité (sca)
900420	etudiant(e) programme gouvernemental - secondaire professionnel
401250	profil -401190- telecommunications
220930	inspecteur(-trice) général(e) adjoint(e) - administration, controles et aff. juridiques
719760	moniteur/formateur-sauvetage - mtln
211730	c/d biblio.<<arr.<60000>>
106450	directeur(-trice) gestion du portefeuille de projets
220040	inspecteur(-trice) general(e) adjoint(e) - expertise et analyse
216400	chef(fe) de section - usine c-j des baillets
211320	agent(e) de ressources humaines
214550	chef(fe) de section - soutien general
402020	ingenieur(e) prepose(e) a la planification
791930	secretaire d unite administrative
754320	agent(e) technique en aqueduc et drainage
700810	agent(e) principal(e) du cadre bati
211740	chef(fe) de division - bibliotheque en arrondissement
720890	agent(e) technique en geomatique
700760	inspecteur(-trice) des batiments
721000	assistant(e)-événements culturels
702790	etudiant(e) col blanc - lasalle
700630	agent(e) culturel(le)
106410	directeur(-trice)-gestion des parcs et biodiversite
401620	gestionnaire de projets immobiliers
402890	conseiller(-ere) en amenagement- c/e
721660	agent(e) technique aux procedes - service de l eau
219900	chef(fe) de section - developpement du territoire
706560	aide-prepose(e) a l equipement - anjou
700390	assitant(e) agent(e) technique - activites sportives
217460	chef(fe) d atelier - mecanique (eau)
604590	electricien(ne) - arrondissement
751330	agent(e) technique de laboratoire en genie civil
721760	inspecteur(-trice) principal(e) du cadre bati
219940	chef(fe) de section - securite civile
212900	chef(fe) de division - transactions immobilieres
783110	verificateur(-trice) compteur(-euse)
721300	etudiant(e) col blanc - dec specialise annee 1
105610	directeur(-trice)  - poursuites penales et criminelles
219730	chef(fe) de division - expertise conseil
900680	stagiaire professionnel 90 credits et plus
711520	specialiste - cours superieur natation iii - st-laurent
223050	chef(fe) d atelier - entretien
220410	agent(e) - recherche de talents et dotation
103550	directeur(-trice) - bureau d arrondissement
216860	chef(fe) de division - evaluation immobiliere
220480	chef(fe) de division - gestion des programmes et portefeuilles
501380	agent(e) police
711630	specialiste - maitre nageur(-euse) iii - st-laurent
204460	c/d lois.  évén.<<arr.verd>>
900400	stagiaire scientifique
400770	conseiller(-ere) - experience client
700600	recenseur(-euse) - occupation des lieux
221360	chef(fe) de section - affaires civiles
601190	calorifugeur(-euse)
709450	moniteur(-trice) - piscines interieures - mtl-nord
709660	sauveteur-piscines et pataugeoires - mtln
218830	chef(fe) de division - gestion des contrats et analyses techniques (cont. gen.)
221750	chef(fe) de section - centre de services rh
720820	préposé(e) à la commercialisation
106740	directeur(-trice)  - communications corporatives
400760	conseiller(-ere) - conversation citoyenne
721890	programme liaison emploi - sec/professionnel
784810	pointeur(-euse) de circulation
601670	mecanicien(ne) entretien - eau potable
284220	chef(fe) de section - application de la reglementation du stationnement
218560	chef(fe) de section - mise en pression conduites principales eau potable
222240	chef(fe) de section - remorquage
105350	directeur(trice)planification et communications
219550	chef(fe) de division - remuneration
106510	directeur(-trice) acquisitions
216790	chef(fe) de division - collections vivantes et recherches
221840	chef(fe) de section - planification et developpement gmr
200880	conseiller(ere) en securite informatique
222990	chef(fe) de division - experience citoyenne
223210	chef(fe) de division - conception_et construction
203640	chef(fe) de division - travaux publics (arr. lachine et anjou)
607750	electricien d entretien stat.epuration
607770	electrotechnicien instrum.   controle
211630	chef(fe) de division - developpement et stratégie
218580	chef(fe) de division - strategies et developpement du reseaudes grands parcs
607700	armurier(-iere)
707350	technicien(ne)-dessinateur(-trice) - anjou
712860	agent(e) technique - epuration des eaux - cum
106440	directeur(-trice) - centre de services 311
105020	directeur(-trice)-culture, loisirs et des batiments (st-leonard)
222980	chef(fe) de division - reseau des maisons de la culture
221950	chef(fe) de section - reseau de surveillance de la qualite de l air
222840	chef(fe) de section - soutien technique pour les sols contamines
106680	directeur(-trice)-relations avec les partenaires et communications
222380	chef(fe) de division - strategies et projets corporatifs rh
223260	chef(fe) de division - revue des activites de la ville
601270	mecanicien(ne) d accessoires
221780	chef(fe) de division - comptabilisation des charges et expertise comptable
219830	c/m soutien opérations
103440	directeur(-trice) de service - materiel roulant et ateliers
218890	c/d resssources financieres et matérielle sdo
211950	chef(fe) de section - bibliotheque (arrondissement)
216710	chef(fe) de section - operations travaux publics
783320	agent(e) technique en architecture de paysage
713210	inspecteur(-trice) - aliments - cum
720090	inspecteur(-trice) d arrondissement (travaux, circulation, proprete)
600530	prepose(e) aux travaux generaux
406810	charge(e) de communication
218460	chef(fe) de section - communications
783310	agent(e) technique en architecture
710960	inspecteur - plomberie - stlau
720790	bibliothecaire - occasionnel(le)
611720	prepose(e) aux travaux et à l entretien
217050	responsable soutien aux élus ii
401330	analyste d affaires
607950	prepose(e) - exploitation du reseau d eaux usees primaire
713030	analyste-redacteur(-trice)
407410	avocat(e) 1
302420	chef(fe) de division - gestion des rentes
710990	inspecteur(-trice) senior - service technique - st-laurent
603300	mecanicien(ne) d entretien - biodome
345290	agent(e) de programmes educatifs
761370	agent(e) d aide socio-economique - chef(fe) d equipe
500000	pompier(-iere)
711700	specialiste - tennis iii - st-laurent
706600	animateur(-trice) - clientele avec besoins particuliers (anjou)
711450	specialiste - basketball de competition iv - st-laurent
400480	psychologue-cum
611510	prepose(e) - exploitation du reseau primaire - eau potable
400420	evaluateur(-trice) commercial(e)
749810	releveur(-euse) de compteurs d eau
703030	responsable des surveillants(-antes) d arenas - lasalle
712960	administrateur(-trice) de bases de données_(dba)
219520	adjoint chef de bureau affaires internationales
492810	conseiller(-ere) en ressources documentaires
402030	ingenieur(e) charge(e) de planification
611560	depanneur(-euse) polyvalent(e) - pierrefonds-roxboro
217550	c/s adjoint(e) centre sportif - stlaurent
223130	chef(fe) de division - perception des amendes
220780	architecte d entreprise ti
106800	directeur(-trice) - infrastructures et opérations
222320	chef(fe) de section - gestion de la formation
719000	agent(e) iii - soutien administratif (2) - st-leonard
211430	chef(fe) de section - systemes d information - ressources humaines
712820	agent(e) technique en protection des milieux naturels
213920	régisseur cult.<<arr.outr>>
284720	c/m installation   de depannage en eclairage   signalisation
216340	chef(fe) de division - ingenierie - production de l eau potable
219650	chef(fe) de division - grands parcs metropolitains
500110	lieutenant(e) enqueteur(-euse)
700510	prepose(e) aux droits d entree - chef(fe) d equipe
215830	adjoint(e) directeur(-trice) - travaux publics (arr. ville-marie)
218730	chef(fe) de section - soutien aux employes et qualite de vie au travail sim
214730	chef(fe) de division - service a la clientele (arrondissement)
105160	directeur(-trice) - infrastructures
107030	chef(fe) de service - ressources matérielles, technologiqueset informationnelles (spvm)
741810	comptable
106550	directeur(-trice) d arrondissement delegue(e) ville-marie
401150	profil - 401130 - dorsale
401170	profil - 401160 - frontale
106750	directeur(-trice)-projets speciaux, soutien general et service a la clientele
211130	chef(fe) de division - relations de presse
611570	electrotechnicien(ne) - stationnement montreal
751350	agent(e) technique de laboratoire en physique - mecanique
105670	directeur(-trice) - rel.travail negociateur(-trice) en chef
206360	chef(fe) de section - infrastructure et operations informatiques (arr. st-laurent)
221050	chef(fe) de section - gestion de l energie et centre immotique
223780	chef(fe) de section - service administratif ssi
104890	directeur(-trice) d arrondissement adjoint(e) et responsable de l administration v-marie
223790	chef(fe) de division - affaires publiques et mesures d urgence
212290	chef(fe) de section - soutien aux instances
106370	directeur(-trice) - communications spvm
221240	chef(fe) de section - planification operationnelle
216390	chef(fe) de section - vannes du reseau primaire d aqueduc
214480	chef(fe) de division - etudes techniques en arrondissement
208620	contremaitre(-tresse) - aqueduc et egouts (arrondissement)
213610	contremaitre(-tresse) - installation et depannage en eclairage et signalisation (rpp)
451010	candidat(e) à la profession d ingénieur(e) cpi
752810	dessinateur(-trice)
720550	technicien(ne) en ressources humaines
501390	cadet policier
304410	conseiller(-ere) en planification budgetaire
731810	operateur(-trice) d equipement de saisie des donnees
700820	agent(e) principal(e) - cour municipale
720860	charge de l insp. du cadre bati et du dom. prive et publ.
720740	chargé(e) du nettoyage des graffitis
400600	vérificateur(-trice) principal(e)
401480	analyste ti
222950	chef(fe) de division - relations avec les partenaires
757810	aide-technique de laboratoire
762860	aide-animateur(-trice) grade 2 - loisirs communautaires
215700	c/d pratiques et contrôles
219760	chef(fe) de division - conseil et soutien financiers
451090	ingenieur(e) - chef de groupe
400200	ingenieur(e) (avant le 07-12-1994) cum
703170	surveillant(e) - arena - lasalle
400410	evaluateur(-trice) regional(e)
789420	prepose(e) a la patrouille canine
103530	directeur(-trice)-amenag.urbain et serv. entreprises (arr.)
900670	stagiaire professionnel 60 a 89 credits
721540	dessinateur(-trice) technique
602960	technicien(ne) en soins animaliers et plongeur(-euse)
105500	directeur(-trice)-developpement du territoire et etudes techniques
611470	chargé - service de bar
105900	directeur(-trice) de service - developpement economique
720430	moniteur(-trice) d activites jeunesse
211750	chef(fe) de division - culture et bibliotheque en arrondissement
209390	chef(fe) de division - ressources financieres, materielles et informationnelles (arrond.)
222250	chef(fe) de section - grands projets de mobilite urbaine
713310	prepose(e) a l animation - cum
700030	aide-technique
222260	chef(fe) de division - gestion de portefeuille et administration
222530	chef(fe) de division - gestion immobiliere en arrondissement
900280	etudiant(e) programme gouvernemental - secondaire
209830	chef(fe) de division - ateliers mecaniques
769830	assistant(e) entomologiste
753820	surveillant(e) de travaux de batiment
105820	directeur(-trice)  - planification et mise en valeur du territoire
700620	conseiller(-ere) administratif(-ive) aupres des organismes benevoles
751310	agent(e) technique de laboratoire en chimie
215450	chef(fe) de division - greffe et greffier(-iere) de la cour municipale
106610	directeur(-trice)-projets du service de l eau
206280	chef(fe) de section - centre sportif et installations
215670	c/d planification et operations (gest mat residuelles)
106400	directeur(-trice) - technologie, architecture, innovation et securite
602270	prepose(e) a l assignation des conducteurs - (voie publique)
400750	conseiller(-ere) - expérience utilisateur
215480	chef(fe) de division - service a la clientele               entele
603010	operateur(-trice) equipement, electro-mecanique - jardin botanique et insectarium
221420	chef(fe) de section - gestion animaliere
712070	agent(e) ii - paie - st-leonard
103560	directeur(trice) - cult.,sp., lois. dev. soc. (< 60 000)
218010	chef(fe) de division - expertise et soutien (realisation des travaux - tp)
221640	chef(fe) de section - centre d appels
216580	chef(fe) de division - inspections et enquetes (bureau taxi de montreal)
222880	chef(fe) de division - developpement economique
106100	directeur(-trice)-solutions numeriques - web
223490	chef(fe) de division transactions immobilières
221490	chef(fe) de division - soutien developpement culturel
208990	greffier adj.
712230	agent(e) technique en cartographie et dessin - st-leonard
600770	ouvrier(-iere) des eaux de l assainissementt
